house,theta0,theta1,theta2,theta3,theta4
Ravenclaw,0.008100765917713419,-0.008212145305576709,0.701656905134351,8.212145305578848e-05,0.018680523330969034
Slytherin,-0.008088770950519157,-0.007940717220022535,-0.7281862327937337,7.940717220021898e-05,0.0187274276257568
Gryffindor,-0.002089840306891056,0.007537656595173447,-0.7369211404628172,-7.537656595177417e-05,0.018160458322826454
Hufflepuff,0.0012154443493937552,0.008590355558821886,0.7445212867730966,-8.590355558819002e-05,0.018716496515783724
